Academic Journal|1559-5145|(Re)-turn: A Journal of Lacanian Studies|(Re)-turn: A Journal of Lacanian Studies|Y
Academic Journal|0148-2076|19th Century Music|University of California Press|
Academic Journal|0743-4618|AAC: Augmentative & Alternative Communication|Taylor & Francis Ltd|Y
Academic Journal|1079-0713|AACN Clinical Issues: Advanced Practice in Acute & Critical Care|Lippincott Williams & Wilkins|Y
Academic Journal|0094-6354|AANA Journal|American Association of Nurse Anesthetists|Y
Magazine|1935-6765|AAOS Now|American Academy of Orthopaedic Surgeons|
Academic Journal|0365-0359|"AAPP | Physical, Mathematical & Natural Sciences / Atti della Accademia Peloritana dei Pericolanti - Classe di Scienze Fisiche, Matematiche e Naturali"|Accademia Peloritana dei Pericolanti|Y
Magazine|0747-0088|ABA Journal|American Bar Association|
Academic Journal|0717-344X|ABANTE|Abante at School of Business at Universidad Catolica de Chile|Y
Academic Journal|0942-8925|Abdominal Imaging|Springer Science & Business Media B.V.|Y
Academic Journal|1046-7041|ABNF Journal|Tucker Publications, Inc.|Y
Academic Journal|1037-3403|Aboriginal & Islander Health Worker Journal|Copyright Agency Limited|Y
Academic Journal|1086-4822|About Campus|John Wiley & Sons, Inc.|Y
Academic Journal|1085-3375|Abstract & Applied Analysis|Hindawi Publishing Corporation|Y
Magazine|0190-2946|Academe|American Association of University Professors|
Magazine|8750-7730|Academic Leader|Magna Publications Inc.|
Academic Journal|0895-4852|Academic Questions|Springer Science & Business Media B.V.|Y
Magazine|0001-4508|Accent on Living|Cheever Publishing, Inc.|Y
Magazine|1050-0758|Access|American Dental Hygienists Association|
Academic Journal|0001-4575|Accident Analysis & Prevention|Pergamon Press - An Imprint of Elsevier Science|Y
Academic Journal|1578-908X|Acci¢n Psicol¢gica|Editorial UNED|Y
Academic Journal|0001-4842|Accounts of Chemical Research|American Chemical Society|Y
Academic Journal|0360-5930|ACES Bulletin|Association for Comparative Economic Studies|Y
Academic Journal|1024-9435|ACIMED|Centro Nacional de Informacion de Ciencias Medicas|Y
Academic Journal|0360-0300|ACM Computing Surveys|Association for Computing Machinery|Y
Academic Journal|0734-2071|ACM Transactions on Computer Systems|Association for Computing Machinery|Y
Academic Journal|0362-5915|ACM Transactions on Database Systems|Association for Computing Machinery|Y
Academic Journal|1046-8188|ACM Transactions on Information Systems|Association for Computing Machinery|Y
Academic Journal|2157-6904|ACM Transactions on Intelligent Systems & Technology|Association for Computing Machinery|Y
Academic Journal|0098-3500|ACM Transactions on Mathematical Software|Association for Computing Machinery|Y
Academic Journal|0164-0925|ACM Transactions on Programming Languages & Systems|Association for Computing Machinery|Y
Academic Journal|1492-9732|ACME: An International E-Journal for Critical Geographies|Centre for Social, Spatial & Economic Justice|Y
Academic Journal|1063-7710|Acoustical Physics|Springer Science & Business Media B.V.|Y
Academic Journal|0814-6039|Acoustics Australia|Copyright Agency Limited|Y
Academic Journal|1056-8751|ACP Journal Club|American College of Physicians|Y
Academic Journal|0896-3576|Acquisitions Librarian|Taylor & Francis Ltd|Y
Academic Journal|2156-8952|ACS Combinatorial Science|American Chemical Society|Y
Magazine|0569-3799|ACS Petroleum Chemistry Division Preprints|American Chemical Society|
Academic Journal|1392-0316|Acta Academiae Artium Vilnensis|Vilnius Academy of Fine Arts Press|Y
Academic Journal|0587-2405|Acta Academica|Acta Academica|Y
Academic Journal|0001-5113|Acta Adriatica|Institut za Oceanografiju i Ribarstvo|Y
Academic Journal|0258-1825|Acta Aerodynamica Sinica / Kongqi Donglixue Xuebao|China Aerodynamics Research Society|Y
Academic Journal|0906-4702|Acta Agriculturae Scandinavica: Section A, Animal Science|Taylor & Francis Ltd|Y
Academic Journal|0906-4710|Acta Agriculturae Scandinavica: Section B, Soil & Plant Science|Taylor & Francis Ltd|Y
Academic Journal|1651-288X|Acta Agriculturae Scandinavica: Section C, Food Economics|Routledge|Y
Academic Journal|0001-5172|Acta Anaesthesiologica Scandinavica|Wiley-Blackwell|Y
Academic Journal|0353-5150|Acta Analytica|Springer Science & Business Media B.V.|Y
Academic Journal|1234-950X|Acta Angiologica|VM Medica-VM Group (Via Medica)|Y
Academic Journal|0167-8019|Acta Applicandae Mathematica|Springer Science & Business Media B.V.|Y
Academic Journal|0065-101X|Acta Archaeologica|Wiley-Blackwell|Y
Academic Journal|1000-1093|Acta Armamentarii|Zahongguo Binggong Xuehui|Y
Academic Journal|0094-5765|Acta Astronautica|Elsevier Science|Y
Academic Journal|0717-5906|Acta BioÇthica|Universidad de Chile, Centro Interdisciplinario de Estudios en Bioetica|Y
Academic Journal|0800-3831|Acta Borealia|Routledge|Y
Academic Journal|0365-0588|Acta Botanica Croatica|De Gruyter Open|Y
Academic Journal|0187-7151|Acta Botanica Mexicana|Instituto de Ecologia A.C.|Y
Academic Journal|0583-6050|Acta Carsologica|Scientific Research Centre of Slovenian Academy of Sciences & Arts|Y
Academic Journal|1318-0207|Acta Chimica Slovenica|Slovenian Chemical Society|Y
Academic Journal|2053-2733|Acta Crystallographica. Section A, Foundations & Advances|International Union of Crystallography - IUCr|Y
Academic Journal|0108-7673|Acta Crystallographica: Section A (International Union of Crystallography - IUCr)|International Union of Crystallography - IUCr|Y
Academic Journal|0108-7673|Acta Crystallographica: Section A (Wiley-Blackwell)|Wiley-Blackwell|Y
Academic Journal|0108-7681|Acta Crystallographica: Section B (International Union of Crystallography - IUCr)|International Union of Crystallography - IUCr|Y
Academic Journal|0108-7681|Acta Crystallographica: Section B (Wiley-Blackwell)|Wiley-Blackwell|Y
Academic Journal|2052-5192|Acta Crystallographica: Section B, Structural Science, Crystal Engineering & Materials|International Union of Crystallography - IUCr|Y
Academic Journal|0108-2701|Acta Crystallographica: Section C (International Union of Crystallography - IUCr)|International Union of Crystallography - IUCr|Y
Academic Journal|0108-2701|Acta Crystallographica: Section C (Wiley-Blackwell)|Wiley-Blackwell|Y
Academic Journal|2053-2296|Acta Crystallographica: Section C, Structural Chemistry|International Union of Crystallography - IUCr|Y
Academic Journal|0907-4449|Acta Crystallographica: Section D (International Union of Crystallography - IUCr)|International Union of Crystallography - IUCr|Y
Academic Journal|0907-4449|Acta Crystallographica: Section D (Wiley-Blackwell)|Wiley-Blackwell|Y
Academic Journal|1600-5368|Acta Crystallographica: Section E (International Union of Crystallography - IUCr)|International Union of Crystallography - IUCr|Y
Academic Journal|1600-5368|Acta Crystallographica: Section E (Wiley-Blackwell)|Wiley-Blackwell|Y
Academic Journal|1744-3091|Acta Crystallographica: Section F (International Union of Crystallography - IUCr)|International Union of Crystallography - IUCr|Y
Academic Journal|1744-3091|Acta Crystallographica: Section F (Wiley-Blackwell)|Wiley-Blackwell|Y
Academic Journal|2053-230X|Acta Crystallographica: Section F, Structural Biology Communications|International Union of Crystallography - IUCr|Y
Academic Journal|0001-5555|Acta Dermato-Venereologica|Society for Publication of Acta Dermato-Venereologica|Y
Academic Journal|0940-5429|Acta Diabetologica|Springer Science & Business Media B.V.|Y
Academic Journal|0351-2789|Acta Ecclesiastica Sloveniae|Univerza v Ljubljani, Teoloska Fakulteta, Institute za zgodovino Cerkve|Y
Academic Journal|1841-0987|Acta Endocrinologica (1841-0987)|Acta Endocrinologica Foundation|Y
Academic Journal|0374-1036|Acta Entomologica Musei Natioalis Pragae|National Museum|Y
Academic Journal|1406-2283|Acta et Commentationes Universitatis Tartuensis de Mathematica|University of Tartu / OU Tartu Ulikoali Kirjastus|Y
Academic Journal|0873-9749|Acta Ethologica|Springer Science & Business Media B.V.|Y
Academic Journal|0351-6083|Acta Facultatis Medicae Naissensis|De Gruyter Open|Y
Academic Journal|0301-2298|Acta Facultatis Pharmaceuticae Universitatis Comenianae|De Gruyter Open|Y
Academic Journal|1980-5772|Acta Geogr†fica|Acta Geografica|Y
Academic Journal|0373-4498|Acta Geographica|Znanstvenoraziskovalni Center SAZU|Y
Academic Journal|1000-9515|Acta Geologica Sinica (English Edition)|Wiley-Blackwell|Y
Academic Journal|0001-5792|Acta Haematologica|Karger AG|Y
Academic Journal|1827-9635|Acta Herpetologica|Firenze University Press|Y
